Dates,Crashes
2018-06-28,684
2018-06-29,849
2018-06-30,756
2018-07-01,638
2018-07-02,702
2018-07-03,817
2018-07-04,644
2018-07-05,743
2018-07-06,767
2018-07-07,746
2018-07-08,599
2018-07-09,761
2018-07-10,716
2018-07-11,666
2018-07-12,644
2018-07-13,786
2018-07-14,660
2018-07-15,538
2018-07-16,739
2018-07-17,685
2018-07-18,663
2018-07-19,618
2018-07-20,753
2018-07-21,728
2018-07-22,539
2018-07-23,595
2018-07-24,609
2018-07-25,636
2018-07-26,668
2018-07-27,711
2018-07-28,607
2018-07-29,564
2018-07-30,600
2018-07-31,623
2018-08-01,779
2018-08-02,707
2018-08-03,760
2018-08-04,787
2018-08-05,544
2018-08-06,581
2018-08-07,733
2018-08-08,604
2018-08-09,615
2018-08-10,696
2018-08-11,708
2018-08-12,670
2018-08-13,655
2018-08-14,637
2018-08-15,623
2018-08-16,577
2018-08-17,721
2018-08-18,668
2018-08-19,547
2018-08-20,643
2018-08-21,575
2018-08-22,639
2018-08-23,601
2018-08-24,693
2018-08-25,699
2018-08-26,579
2018-08-27,676
2018-08-28,730
2018-08-29,640
2018-08-30,649
2018-08-31,782
2018-09-01,644
2018-09-02,503
2018-09-03,495
2018-09-04,843
2018-09-05,740
2018-09-06,697
2018-09-07,722
2018-09-08,552
2018-09-09,545
2018-09-10,647
2018-09-11,694
2018-09-12,616
2018-09-13,786
2018-09-14,823
2018-09-15,683
2018-09-16,632
2018-09-17,700
2018-09-18,621
2018-09-19,626
2018-09-20,780
2018-09-21,691
2018-09-22,615
2018-09-23,606
2018-09-24,638
2018-09-25,705
2018-09-26,644
2018-09-27,682
2018-09-28,781
2018-09-29,652
2018-09-30,511
2018-10-01,686
2018-10-02,648
2018-10-03,772
2018-10-04,608
2018-10-05,842
2018-10-06,644
2018-10-07,612
2018-10-08,586
2018-10-09,706
2018-10-10,795
2018-10-11,700
2018-10-12,762
2018-10-13,613
2018-10-14,556
2018-10-15,670
2018-10-16,673
2018-10-17,667
2018-10-18,674
2018-10-19,843
2018-10-20,688
2018-10-21,533
2018-10-22,619
2018-10-23,691
2018-10-24,673
2018-10-25,629
2018-10-26,664
2018-10-27,717
2018-10-28,562
2018-10-29,652
2018-10-30,590
2018-10-31,681
2018-11-01,600
2018-11-02,662
2018-11-03,589
2018-11-04,707
2018-11-05,736
2018-11-06,666
2018-11-07,574
2018-11-08,564
2018-11-09,767
